Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,Eigenvector_Centrality,Local_Clustering_Coefficient,Core-periphery_Coreness,ig_url,posts,Followers,Following,category,distinct_following
46,蔡桃貴,28,2,2,0.14,8e-06,0.079258,0.613164,25,https://www.instagram.com/tsaigray2018/,4238,1150147,61,"家庭母嬰,趣味搞笑",59
47,Ru's-Piano-Ru味春捲,15,30,15,0.08,0.009595,0.047946,0.447692,22,https://www.instagram.com/ruruspiano/,1350,221940,697,表演藝術,693
48,阿啾繪圖同萌,14,9,7,0.07,0.000515,0.029396,0.54065,14,https://www.instagram.com/achusan0817/,583,221635,217,"表演藝術,趣味搞笑",639
49,黃大謙,57,26,21,0.29,0.004783,0.126085,0.432436,27,https://www.instagram.com/da_chien_huang/,493,522301,493,趣味搞笑,493
50,愛莉莎莎-Alisasa,71,65,54,0.36,0.01623,0.149113,0.364946,27,https://www.instagram.com/goodalicia/,1637,615843,1279,"美妝保養,時尚潮流",1266
51,見習網美小吳,64,56,51,0.32,0.009512,0.150936,0.440824,27,https://www.instagram.com/beauty___wu/,1739,760960,770,"美妝保養,趣味搞笑",769
52,Charlene-Liu-查理,22,17,9,0.11,0.008096,0.036955,0.307377,20,https://www.instagram.com/coindevanity/,2880,344198,1016,"美妝保養,時尚潮流,旅遊",1015
53,PEETA葛格,46,47,42,0.23,0.008351,0.11183,0.437913,27,https://www.instagram.com/peeta.gege/,873,267433,1832,運動健身,1820
54,波蘭女孩x台灣男孩-在家環遊世界,1,2,1,0.01,1.4e-05,0.001493,0.0,2,https://www.instagram.com/milasky_love/,600,115072,1042,"旅遊,美食料理",1041
55,連環泡有芒果,5,2,2,0.03,0.000227,0.005325,0.394737,5,https://www.instagram.com/corgimango/,2043,218465,10,"美食料理,寵物,趣味搞笑",10
56,Emma艾瑪,7,11,7,0.04,0.001242,0.011154,0.328767,9,https://www.instagram.com/xollox121/,1901,206043,950,運動健身,943
57,Aries艾瑞絲,46,46,42,0.23,0.009331,0.103363,0.416868,27,https://www.instagram.com/aries_8248/,2044,779766,943,"美食料理,表演藝術,趣味搞笑",940
58,蘿潔塔的廚房,1,0,0,0.01,0.0,0.000928,0.0,1,https://www.instagram.com/rosalina.kitchen/,389,161521,36,"美食料理,帶貨分潤",36
