source,target
小吳（見習網美小吳）,奎丁
小吳（見習網美小吳）,千千-Chien-Chien
小吳（見習網美小吳）,居妮-Ginny
小吳（見習網美小吳）,本本
小吳（見習網美小吳）,超強系列
小吳（見習網美小吳）,琳妲-林羿禎
小吳（見習網美小吳）,HOOK
小吳（見習網美小吳）,蔡哥
小吳（見習網美小吳）,一隻阿圓
小吳（見習網美小吳）,愛莉莎莎-Alisasa
小吳（見習網美小吳）,理科太太-Li-Ke-Tai-Tai
小吳（見習網美小吳）,丹妮婊姐
小吳（見習網美小吳）,焦凡凡
小吳（見習網美小吳）,阿滴-都省瑞
小吳（見習網美小吳）,滴妹-都冠伶
Bobo&Kira（Bobo-TV）,儒哥
Bobo&Kira（Bobo-TV）,好味小姐-Lady-Flavor
Bobo&Kira（Bobo-TV）,志銘與狸貓
Bobo&Kira（Bobo-TV）,恩恩老師EanTV
Bobo&Kira（Bobo-TV）,鄭毓倫（台南Josh）
Bobo&Kira（Bobo-TV）,許伯&簡芝（倉鼠人）
Bobo&Kira（Bobo-TV）,曾博恩
Bobo&Kira（Bobo-TV）,展榮&展瑞
Bobo&Kira（Bobo-TV）,品筠&京燁（那對夫妻）
Bobo&Kira（Bobo-TV）,77老大
Bobo&Kira（Bobo-TV）,小吳（見習網美小吳）
Bobo&Kira（Bobo-TV）,一隻阿圓
Bobo&Kira（Bobo-TV）,蛇丸
Bobo&Kira（Bobo-TV）,千千-Chien-Chien
Bobo&Kira（Bobo-TV）,Andy老師-王崇睿
Bobo&Kira（Bobo-TV）,滴妹-都冠伶
Bobo&Kira（Bobo-TV）,嘎嫂二伯&蔡波能
Bobo&Kira（Bobo-TV）,白癡公主
Bobo&Kira（Bobo-TV）,蔡桃貴
Bobo&Kira（Bobo-TV）,鍾明軒
Bobo&Kira（Bobo-TV）,鐵牛-伍嘉緯
Bobo&Kira（Bobo-TV）,彼得爸與蘇珊媽
Bobo&Kira（Bobo-TV）,琳妲-林羿禎
Bobo&Kira（Bobo-TV）,劉沛
Bobo&Kira（Bobo-TV）,阿滴-都省瑞
Bobo&Kira（Bobo-TV）,理科太太-Li-Ke-Tai-Tai
Bobo&Kira（Bobo-TV）,瑋瑋-黃挺瑋
Bobo&Kira（Bobo-TV）,蔡阿嘎-蔡緯嘉
Bobo&Kira（Bobo-TV）,Our-TV
Bobo&Kira（Bobo-TV）,烏鴉DoKa
Bobo&Kira（Bobo-TV）,本本
Bobo&Kira（Bobo-TV）,愛莉莎莎-Alisasa
Bobo&Kira（Bobo-TV）,哲哲-黃雍哲
Bobo&Kira（Bobo-TV）,草爺（含羞草日記）
Bobo&Kira（Bobo-TV）,黃氏兄弟
Bobo&Kira（Bobo-TV）,Ryu
曾博恩,鳥屎
曾博恩,洋蔥（Onion-Man）
曾博恩,大H
曾博恩,歐耶老師
曾博恩,Ian與Eric（The-DoDo-Men---嘟嘟人）
曾博恩,草爺（含羞草日記）
曾博恩,HOOK
曾博恩,百靈果
曾博恩,阿翰
曾博恩,呱吉-邱威傑
曾博恩,6tan
曾博恩,賤葆-J-Bao
曾博恩,小吳（見習網美小吳）
曾博恩,張志祺（志祺七七-X-圖文不符）
曾博恩,錫蘭-Ceylan
曾博恩,艾瑞絲-Aries
曾博恩,館長-陳之漢
曾博恩,喬瑟夫-ChillSeph
