Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category,distinct_following
29,琳妲-林羿禎,60,65,53,30.15,0.026028,https://www.instagram.com/linda831212/,5232,1036871,2416,"表演藝術,趣味搞笑",2400
30,白癡公主,79,40,33,39.7,0.017399,https://www.instagram.com/87acup/,1801,1002519,515,趣味搞笑,501
31,KEOKI-BLACK布萊克薛薛,20,8,8,10.05,0.000453,https://www.instagram.com/k3okii/,1396,232109,389,"旅遊,美食料理",398
32,厭世甜點店,18,36,18,9.05,0.005998,https://www.instagram.com/energydessert2019/,1266,145675,494,美食料理,494
33,陳彥婷,49,45,40,24.62,0.005123,https://www.instagram.com/thetiffanychen/,2147,642973,352,趣味搞笑,352
34,魚乾,65,72,53,32.66,0.016372,https://www.instagram.com/annie72127/,1809,350257,500,"寵物,遊戲電玩,趣味搞笑",496
35,志祺七七,54,31,28,27.14,0.004449,https://www.instagram.com/shasha77.daily/,1093,238862,552,"知識教育,時事討論,高階經理人",537
36,HOOK,60,46,38,30.15,0.006537,https://www.instagram.com/helloiamhook/,1154,648553,448,"寵物,旅遊,美食料理",446
37,木曜4超玩,23,18,10,11.56,0.000446,https://www.instagram.com/muyao4/,817,342007,71,旅遊,70
38,丹妮婊姐,36,0,0,18.09,0.0,https://www.instagram.com/dannybeeech/,1232,257954,2,"美妝保養,時尚潮流,趣味搞笑",2
39,泱泱LYNN,14,32,10,7.04,0.000499,https://www.instagram.com/lynnwu0219_2/,21,76276,93,帶貨分潤,93
40,HahaTai-哈哈台,23,44,19,11.56,0.004093,https://www.instagram.com/hahatai_official/,2719,335359,1092,趣味搞笑,1092
41,丁特-Dinter,0,0,0,0.0,0.0,https://www.instagram.com/dinteroffical/,7,833,2,遊戲電玩,2
42,彼得爸與蘇珊媽,19,32,17,9.55,0.00442,https://www.instagram.com/peter_and_susan/,3181,115573,1267,"旅遊,家庭母嬰,帶貨分潤",1251
43,阿翰po影片,77,55,48,38.69,0.018649,https://www.instagram.com/hanhanpovideo/,714,663533,1782,趣味搞笑,1782
44,愛里,27,65,21,13.57,0.007238,https://www.instagram.com/allie.liao/,180,621595,1325,"知識教育,趣味搞笑",1318
45,這群人-尼克,47,51,40,23.62,0.00972,https://www.instagram.com/nickwang1988/,2358,422848,646,"趣味搞笑,表演藝術",646
46,蔡桃貴,28,2,2,14.07,8e-06,https://www.instagram.com/tsaigray2018/,4238,1150147,61,"家庭母嬰,趣味搞笑",59
47,Ru's-Piano-Ru味春捲,15,30,15,7.54,0.008885,https://www.instagram.com/ruruspiano/,1350,221940,697,表演藝術,693
48,阿啾繪圖同萌,14,9,7,7.04,0.00048,https://www.instagram.com/achusan0817/,583,221635,217,"表演藝術,趣味搞笑",639
49,黃大謙,57,26,21,28.64,0.004464,https://www.instagram.com/da_chien_huang/,493,522301,493,趣味搞笑,493
50,愛莉莎莎-Alisasa,71,65,54,35.68,0.015136,https://www.instagram.com/goodalicia/,1637,615843,1279,"美妝保養,時尚潮流",1266
51,見習網美小吳,64,56,51,32.16,0.008845,https://www.instagram.com/beauty___wu/,1739,760960,770,"美妝保養,趣味搞笑",769
52,Charlene-Liu-查理,22,17,9,11.06,0.007495,https://www.instagram.com/coindevanity/,2880,344198,1016,"美妝保養,時尚潮流,旅遊",1015
53,PEETA葛格,46,47,42,23.12,0.007783,https://www.instagram.com/peeta.gege/,873,267433,1832,運動健身,1820
54,波蘭女孩x台灣男孩-在家環遊世界,1,2,1,0.5,1.3e-05,https://www.instagram.com/milasky_love/,600,115072,1042,"旅遊,美食料理",1041
55,連環泡有芒果,5,2,2,2.51,0.000212,https://www.instagram.com/corgimango/,2043,218465,10,"美食料理,寵物,趣味搞笑",10
56,Emma艾瑪,7,11,7,3.52,0.001147,https://www.instagram.com/xollox121/,1901,206043,950,運動健身,943
57,Aries艾瑞絲,46,46,42,23.12,0.008737,https://www.instagram.com/aries_8248/,2044,779766,943,"美食料理,表演藝術,趣味搞笑",940
58,蘿潔塔的廚房,1,0,0,0.5,0.0,https://www.instagram.com/rosalina.kitchen/,389,161521,36,"美食料理,帶貨分潤",36
59,瑀熙-Yuci,34,34,20,17.09,0.008959,https://www.instagram.com/uccu0323/,2996,1031037,624,"旅遊,遊戲電玩",612
60,這群人TGOP,36,2,2,18.09,0.000214,https://www.instagram.com/thisgroupofpeople/,2377,634322,15,趣味搞笑,15
61,3cTim哥生活的日常,16,17,13,8.04,0.000738,https://www.instagram.com/3ctim/,2926,113102,486,3C科技,486
62,百變沛莉-Peri,11,10,7,5.53,0.000408,https://www.instagram.com/peri168/,4650,160223,1082,"美妝保養,時尚潮流,家庭母嬰",1082
63,鹿人,24,33,20,12.06,0.002996,https://www.instagram.com/twodeerman/,922,415007,208,"表演藝術,趣味搞笑",207
64,關韶文,40,34,33,20.1,0.004003,https://www.instagram.com/ethan_kuan_kuan/,1929,367960,501,"美妝保養,趣味搞笑,表演藝術",500
65,健人蓋伊,21,22,18,10.55,0.001224,https://www.instagram.com/gu_yuze/,829,262770,827,運動健身,820
66,GINA-HELLO!,43,18,16,21.61,0.005695,https://www.instagram.com/ginachiki/,7076,525796,447,"美妝保養,時尚潮流,旅遊",447
67,我是老爸-我不要當爸!,24,22,20,12.06,0.0064,https://www.instagram.com/daddy.iam/,554,102766,301,"旅遊,美食料理",300
68,蛋事超有事EggThings,8,8,8,4.02,4.2e-05,https://www.instagram.com/egg_things/,760,230287,106,表演藝術,106
69,雨揚樂活家族,0,0,0,0.0,0.0,https://www.instagram.com/yu.young_fate/,4261,87182,5,綜合其他,1
70,肉比頭Zoebitalk,26,60,26,13.07,0.00596,https://www.instagram.com/zoebitalk/,1370,296415,794,"旅遊,知識教育",794
71,現在宅知道,14,13,9,7.04,0.000348,https://www.instagram.com/cb.otaku/,2536,132212,81,遊戲電玩,81
72,人生肥宅x尊,13,5,5,6.53,0.000215,https://www.instagram.com/loserzun/,186,432782,58,"趣味搞笑,遊戲電玩",58
73,啾啾妹-by-LIIN,19,15,10,9.55,0.000997,https://www.instagram.com/chuchumei__/,1336,542737,217,"趣味搞笑,設計創作",218
74,閃電狼Flash-Wolves,3,0,0,1.51,0.0,https://www.instagram.com/flashwolves2013/,5489,100432,96,遊戲電玩,96
75,融融歷險記-Ben’s-Adventure,12,9,6,6.03,0.000627,https://www.instagram.com/benwoooo/,1485,104492,439,旅遊,439
76,星期天,25,40,22,12.56,0.004222,https://www.instagram.com/sundayright_dub/,1950,180562,1612,綜合其他,1569
77,Yun-Chou,39,31,27,19.6,0.004816,https://www.instagram.com/riceandshine.co/,2961,834659,993,家庭母嬰,991
78,MaoMaoTV,10,17,7,5.03,0.001144,https://www.instagram.com/maomaotv/,1847,168451,1061,旅遊,1061
79,Evelyn-Chen-理科太太,44,31,28,22.11,0.002242,https://www.instagram.com/liketaitai/,700,573035,226,"醫療健康,時事討論",223
80,小A辣,19,20,18,9.55,0.00437,https://www.instagram.com/ala780705/,1744,354298,1499,趣味搞笑,1481
81,兔女狼,5,12,3,2.51,0.000103,https://www.instagram.com/colorfulinsideus/,603,259315,1508,旅遊,1508
82,有璟妍精요찡옌찡,7,10,6,3.52,0.000112,https://www.instagram.com/602avenue/,765,216284,664,"旅遊,美食料理",664
83,滴妹,83,77,63,41.71,0.025845,https://www.instagram.com/crown_du/,1173,739639,1635,"旅遊,美食料理,知識教育",1635
